glottocode	latitude	longitude	humidity_overall_mean	humidity_overall_median	humidity_overall_sd	humidity_overall_IQR	humidity_mean_annual_mean	humidity_mean_annual_median	humidity_mean_annual_sd	humidity_mean_annual_IQR
quec1387	0.33	282	0.0149714940700828	0.0149550000205636	0.000885191771120184	0.00123000051826239	0.0149796232764105	0.0150409028089295	0.000720123533678734	0.0010422131648132
saha1256	16	18	0.00634349078685697	0.00486999982967973	0.00382689332675186	0.00414749991614372	0.00633848428241426	0.00552211248011897	0.00316460544745782	0.00389885416936724
sali1255	48.75	236.75	0.00618104696749234	0.00609499984420836	0.00154964419655153	0.00282000005245209	0.00617705896675007	0.00608700208896254	0.00157607800859102	0.00265174549551577
savo1255	-9.12853	159.814	0.0191856315880493	0.0191699992865324	0.000572413371965832	0.00080999918282032	0.0191883831839579	0.0191778631803269	0.000387802606234423	0.000484724412672222
sena1264	-3.62	141.075	0.0186265220665883	0.0186000000685453	0.000404589139639683	0.000540001317858696	0.0186285967842009	0.0186425833316106	0.000280423693547619	0.000347305115105377
seri1257	28.9877	247.616	0.00618131736229393	0.00568499998189509	0.00182822388519006	0.00249499990604818	0.00617796661372959	0.00568324097871987	0.00181037036551447	0.00229953300004127
sino1245	26.1	94.75	0.0137883691065066	0.014459999743849	0.00462317038123011	0.00941749988123775	0.013780275424222	0.014368202084572	0.00479335366014559	0.00915725546656176
sout1516	-2.0367	132.6767	0.0193858753926705	0.0195099990814924	0.00088127114752747	0.000970000401139259	0.0193947485831958	0.0195965825761151	0.000663908521664446	0.000840031173235426
taik1256	24	108	0.0142102068673281	0.0148149998858571	0.00499687393624844	0.00971999997273088	0.0142068557138073	0.0146497242902923	0.0051824025080011	0.00873516950943869
tang1340	-16.9775	139.0775	0.0171807518756421	0.0176500007510185	0.00330429827049766	0.00620749918743968	0.0171944314188706	0.0177129715512921	0.00339525093548745	0.005803049150725
ticu1244	-3.66	290.13	0.0194082739990908	0.0194450002163649	0.000704389813549893	0.00093750050291419	0.0194140629502255	0.0195294979882116	0.000554964065819073	0.000616549999297907
timo1261	-8.31	124.59	0.0180408026858087	0.0182750001549721	0.00119852797450352	0.0016975007019937	0.0180491059442902	0.0182973735758828	0.00111893408512453	0.00158020847528759
tiwi1244	-11.558449	130.812402	0.0162774259756408	0.0168399997055531	0.004257345982855	0.00837249960750341	0.0162939260841399	0.0167912742536929	0.00436110485155871	0.00801423096304966
touo1238	-8.58405	157.296	0.019211100575043	0.0192099995911121	0.000547802695572074	0.000749999657273293	0.0192137579728718	0.0192176672992193	0.000376198234727488	0.000465923415807386
trum1247	-11.8119	306.4283	0.0151734553768119	0.0173650002107024	0.00394565702771254	0.00648750038817525	0.0151856303043582	0.0173645659880195	0.00395940567600723	0.00598402406063138
tsim1258	54.293	231.4	0.00524833041898872	0.00457499991171062	0.00186670585520976	0.00286750018130988	0.00524040926351707	0.00469439236783526	0.00187429065421911	0.00262407257751976
tuca1253	0.5	287.5	0.0179356926561513	0.0180200003087521	0.000867141153543543	0.00108749978244305	0.0179419584362387	0.0180673937494349	0.000613746456325869	0.000740710125278889
tung1282	44	131	0.00606447027611931	0.00490000005811453	0.00465792699442653	0.00818499980960041	0.0060550573178733	0.00493009373409829	0.00483400963411311	0.00740418055364797
tupi1275	-8	298	0.0184871663072413	0.0189100001007318	0.00154376776926307	0.00149999931454659	0.0184940733100511	0.0191044103768137	0.00140490594935433	0.00126596992292131
turk1311	56	125	0.00418280221462222	0.00246999994851649	0.00398371587604795	0.00614249979844317	0.00417239194214094	0.0024671604155123	0.00412132892176201	0.00591099964114821
ural1272	68	30	0.00419981666856352	0.00314000004436821	0.002636339593973	0.0044149998575449	0.00419645244157494	0.00319418541201028	0.0027170798060869	0.00391079410635737
uruc1242	-17.735	291.565	0.00697655232049555	0.00704500009305775	0.00245133613013153	0.00450999941676855	0.00698052467450365	0.00709309236521626	0.00247078984370766	0.00415025310374201
utoa1244	27.5	249.75	0.00821744184289779	0.00724999979138374	0.00275738247452256	0.00436000002082437	0.00820930815243348	0.00726500001554895	0.00280288138460351	0.00390454475159964
wadj1254	-13.204044	130.243534	0.0184946189730022	0.0192749993875623	0.00251274213377632	0.00425249990075827	0.0185048278487127	0.0192195770149637	0.00255298079608043	0.00400552605020089
wage1238	-13.930709	131.13272	0.0141901150405502	0.0143500003032386	0.00528268260009493	0.0104875001125038	0.014204702533847	0.0144235784731184	0.00542023757015174	0.00978485178590442
waka1280	48.67	235.25	0.00677637237754796	0.0064300000667572	0.00146032923878596	0.00259500020183623	0.00677174148414859	0.00649826526771196	0.00148787246500397	0.00238882462468205
waor1240	-1.12312	283.317	0.0150794833529489	0.0152449999004602	0.00113285906699285	0.00143750058487058	0.01508911326417	0.0153401389123044	0.000882621677575927	0.00104503398890504
west2604	-2.92	132.25	0.0193858753926705	0.0195099990814924	0.00088127114752747	0.000970000401139259	0.0193947485831958	0.0195965825761151	0.000663908521664446	0.000840031173235426
worr1236	-15.92	125.93	0.0129206842631058	0.0126368999481201	0.0044448597510202	0.0081149993930012	0.0129300596199913	0.0127419617945432	0.0045434518665476	0.0076985736636238
yama1264	-55.2748	291.7352	0.00483130898173586	0.00480000022798777	0.000570047992795681	0.000929999630898237	0.00483523387434925	0.00478576529551194	0.000562955761208547	0.000870660750984421
yano1268	1.68	295.12	0.0184864064218316	0.0185300000011921	0.000620668258772692	0.000830000266432762	0.0184919277070889	0.0185560471921538	0.000437252599518889	0.000533086060184158
yeni1252	57	93	0.00462094486999328	0.00331499997992069	0.00337621963761291	0.00556999995023943	0.00461815196268136	0.00332653264518336	0.00349773691322685	0.00508525971498683
yuka1259	66.985	169.6875	0.00275227913458909	0.00156000000424683	0.00246786918359715	0.00370499992277473	0.00274703828906729	0.00160151319626796	0.0025441803453732	0.00332887324829143
zamu1243	-19.5733	300.71	0.013071182626788	0.0133250001817942	0.00333686834445574	0.00588500057347119	0.0130851498853549	0.0134129715410786	0.0033230804152904	0.0052767151953756
zuni1245	35.0056	251.218	0.00484869871283111	0.00437999982386827	0.00158623697990886	0.00201749999541789	0.00484561386418354	0.00442165553977247	0.00154743828703473	0.00176891111429237
